Date,Time,Product,Price,Link
2026-02-13,14:43:19,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",34490.0,https://amzn.in/d/06Pwbey5
2026-02-13,14:58:06,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",34490.0,https://amzn.in/d/06Pwbey5
2026-02-13,14:58:16,"PANCA Gadgets Home Tools, Car Keychain And Lanyard Strap, Tool Box, Gift For Men, Multipurpose Tool, Solid Black (Pack of 1)",349.0,https://amzn.in/d/0bDOcukR
2026-02-13,14:58:28,Diego Mid-Back Mesh Office Chair | 3 Year Warranty | Ergonomic Study | Computer Chair with Revolving Base | Tilting & Height Adjustable Mechanism | Heavy-Duty Metal Base (Black) (DIY),3799.0,https://amzn.in/d/0ik1OB5g
2026-02-13,18:52:26,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",34490.0,https://amzn.in/d/06Pwbey5
2026-02-13,18:52:38,Diego Mid-Back Mesh Office Chair | 3 Year Warranty | Ergonomic Study | Computer Chair with Revolving Base | Tilting & Height Adjustable Mechanism | Heavy-Duty Metal Base (Black) (DIY),2849.0,https://amzn.in/d/0ik1OB5g
2026-02-14,06:46:50,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",34490.0,https://amzn.in/d/06Pwbey5
2026-02-14,12:51:10,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",34490.0,https://amzn.in/d/06Pwbey5
2026-02-14,18:36:31,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",34490.0,https://amzn.in/d/06Pwbey5
2026-02-14,18:36:43,Diego Mid-Back Mesh Office Chair | 3 Year Warranty | Ergonomic Study | Computer Chair with Revolving Base | Tilting & Height Adjustable Mechanism | Heavy-Duty Metal Base (Black) (DIY),2849.0,https://amzn.in/d/0ik1OB5g
2026-02-15,12:53:12,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",34490.0,https://amzn.in/d/06Pwbey5
2026-02-16,07:04:49,Diego Mid-Back Mesh Office Chair | 3 Year Warranty | Ergonomic Study | Computer Chair with Revolving Base | Tilting & Height Adjustable Mechanism | Heavy-Duty Metal Base (Black) (DIY),2749.0,https://amzn.in/d/0ik1OB5g
2026-02-16,13:05:44,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",34490.0,https://amzn.in/d/06Pwbey5
2026-02-18,02:13:30,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",34490.0,https://amzn.in/d/06Pwbey5
2026-02-18,13:06:24,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",34490.0,https://amzn.in/d/06Pwbey5
2026-02-19,07:01:24,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",34490.0,https://amzn.in/d/06Pwbey5
2026-02-19,18:52:37,Diego Mid-Back Mesh Office Chair | 3 Year Warranty | Ergonomic Study | Computer Chair with Revolving Base | Tilting & Height Adjustable Mechanism | Heavy-Duty Metal Base (Black) (DIY),2749.0,https://amzn.in/d/0ik1OB5g
2026-02-20,02:08:28,"PANCA Gadgets Home Tools, Car Keychain And Lanyard Strap, Tool Box, Gift For Men, Multipurpose Tool, Solid Black (Pack of 1)",349.0,https://amzn.in/d/0bDOcukR
2026-02-20,06:57:58,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",34490.0,https://amzn.in/d/06Pwbey5
2026-02-20,06:58:04,"PANCA Gadgets Home Tools, Car Keychain And Lanyard Strap, Tool Box, Gift For Men, Multipurpose Tool, Solid Black (Pack of 1)",349.0,https://amzn.in/d/0bDOcukR
2026-02-20,18:50:38,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",33490.0,https://amzn.in/d/06Pwbey5
2026-02-21,02:02:58,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",33490.0,https://amzn.in/d/06Pwbey5
2026-02-21,18:36:31,Diego Mid-Back Mesh Office Chair | 3 Year Warranty | Ergonomic Study | Computer Chair with Revolving Base | Tilting & Height Adjustable Mechanism | Heavy-Duty Metal Base (Black) (DIY),2999.0,https://amzn.in/d/0ik1OB5g
2026-02-22,12:52:08,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Model, MTKL50U, White)",33490.0,https://amzn.in/d/06Pwbey5
